GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
avis-coverage/avis-domain,fr.esgi.port.decorator,FileUploaderDecorator,20,0,0,0,7,0,2,0,2,0
avis-coverage/avis-domain,fr.esgi.port.decorator,FileUploaderSystem,51,0,2,0,12,0,2,0,1,0
avis-coverage/avis-domain,fr.esgi.model.page,PaginationParams,21,0,0,0,7,0,4,0,4,0
avis-coverage/avis-domain,fr.esgi.model.page,CustomPagedResult,41,0,2,0,11,0,7,0,6,0
avis-coverage/avis-domain,fr.esgi.exception,DomainException,9,0,0,0,4,0,2,0,2,0
avis-coverage/avis-domain,fr.esgi.exception,TechnicalException,9,0,0,0,4,0,2,0,2,0
avis-coverage/avis-domain,fr.esgi.exception,BusinessException,9,0,0,0,4,0,2,0,2,0
avis-coverage/avis-domain,fr.esgi.model,Jeu,33,0,0,0,12,0,4,0,4,0
avis-coverage/avis-persistance,fr.esgi.adapter,EditorRepositoryAdapter,133,0,2,0,24,0,15,0,14,0
avis-coverage/avis-persistance,fr.esgi.adapter,JeuRepositoryAdapter,527,0,2,0,99,0,48,0,47,0
avis-coverage/avis-persistance,fr.esgi.adapter,AvisRepositoryAdapter,51,0,0,0,11,0,5,0,5,0
avis-coverage/avis-persistance,fr.esgi.adapter,PlateformeRepositoryAdapter,74,0,0,0,12,0,7,0,7,0
avis-coverage/avis-persistance,fr.esgi.init,AjoutDonneesInitiales,1492,0,18,0,245,0,20,0,11,0
avis-coverage/avis-persistance,fr.esgi.mapper,EditeurMapperImpl,39,0,4,0,13,0,5,0,3,0
avis-coverage/avis-persistance,fr.esgi.mapper,JeuMapper,32,0,4,0,10,0,3,0,1,0
avis-coverage/avis-persistance,fr.esgi.mapper,JoueurMapperImpl,814,0,60,0,207,0,55,0,25,0
avis-coverage/avis-persistance,fr.esgi.mapper,JeuMapperImpl,371,0,28,0,87,0,25,0,11,0
avis-coverage/avis-persistance,fr.esgi.mapper,PlateformeMapperImpl,47,0,4,0,15,0,5,0,3,0
avis-coverage/avis-persistance,fr.esgi.mapper,AvisMapperImpl,614,0,44,0,157,0,41,0,19,0
avis-coverage/avis-persistance,fr.esgi.mapper,CycleAvoidingMappingContext,20,0,0,0,5,0,3,0,3,0
avis-coverage/avis-persistance,fr.esgi.entity,JeuEntity,33,0,0,0,12,0,4,0,4,0
avis-coverage/avis-persistance,fr.esgi.adapter.page,PageAdapter,75,0,8,0,17,0,9,0,5,0
avis-coverage/avis-usecase,fr.esgi,EditeurUseCase,0,32,0,0,0,7,0,6,0,6
avis-coverage/avis-usecase,fr.esgi,JeuUseCase,30,10,0,0,7,2,3,2,3,2
avis-coverage/avis-usecase,fr.esgi,PlateformUseCase,0,4,0,0,0,1,0,1,0,1
avis-coverage/avis-usecase,fr.esgi.decorator,FileUploaderWebDecorator,20,0,0,0,7,0,4,0,4,0
avis-coverage/avis-web,fr.esgi.controller,ConfigurationMvc,15,0,0,0,3,0,1,0,1,0
avis-coverage/avis-web,fr.esgi.controller,JeuController,121,0,4,0,28,0,5,0,3,0
avis-coverage/avis-web,fr.esgi.controller,EditeurMvc,56,0,2,0,14,0,6,0,5,0
avis-coverage/avis-web,fr.esgi.filter,CheckPointFilter,18,0,0,0,5,0,2,0,2,0
avis-coverage/avis-web,fr.esgi.config,DecoratorConfig,10,0,0,0,2,0,2,0,2,0
avis-coverage/avis-web,fr.esgi.config,TeleversementConfiguration,18,0,0,0,5,0,2,0,2,0
avis-coverage/avis-web,fr.esgi.config,WebConfig,20,0,0,0,4,0,2,0,2,0
avis-coverage/avis-web,fr.esgi.dto,NbJoueursParAnnee,9,0,0,0,1,0,1,0,1,0
avis-coverage/avis-web,fr.esgi.mapper,JeuDtoMapperImpl,595,0,86,0,176,0,62,0,19,0
avis-coverage/avis-web,fr.esgi.controller.rest,JeuRestController,8,0,0,0,1,0,1,0,1,0
avis-coverage/avis-cloud,fr.esgi.decorator,FilesS3BucketDecorator,17,0,0,0,6,0,2,0,2,0
avis-coverage/avis-application,fr.esgi,AvisApplication,8,0,0,0,3,0,2,0,2,0
